"game_date","away_team","home_team","status","winner","favored_team","away_win_probability","home_win_probability","game_id","away_score","home_score","away_record","home_record","away_win_pct","home_win_pct","away_ppg","home_ppg","away_opp_ppg","home_opp_ppg","away_net_rtg","home_net_rtg","away_pace","home_pace","rest_advantage","game_time"
"2026-05-04","Minnesota Timberwolves","San Antonio Spurs","Final","Minnesota Timberwolves","San Antonio Spurs",0.4048,0.5952,"401871152","104","102","49-33","62-20",0.598,0.756,118,119.8,114.6,111.5,3.4,8.3,100,100,1,"01:30 AM ET"
"2026-05-05","Cleveland Cavaliers","Detroit Pistons","Final","Detroit Pistons","Detroit Pistons",0.4177,0.5823,"401871333","101","111","52-30","60-22",0.634,0.732,119.5,117.8,115.4,109.6,4.1,8.2,100,100,0,"11:00 PM ET"
"2026-05-05","Los Angeles Lakers","Oklahoma City Thunder","Final","Oklahoma City Thunder","Oklahoma City Thunder",0.1039,0.8961,"401871326","90","108","53-29","64-18",0.646,0.78,116.3,119,114.6,107.9,1.8,11.1,100,100,1,"12:30 AM ET"
"2026-05-06","Philadelphia 76ers","New York Knicks","Final","New York Knicks","New York Knicks",0.2073,0.7927,"401871160","102","108","45-37","53-29",0.549,0.646,115.9,116.5,116.1,110.1,-0.2,6.3,100,100,0,"11:00 PM ET"
"2026-05-06","Minnesota Timberwolves","San Antonio Spurs","Final","San Antonio Spurs","San Antonio Spurs",0.4207,0.5793,"401871153","95","133","49-33","62-20",0.598,0.756,118,119.8,114.6,111.5,3.4,8.3,100,100,0,"01:30 AM ET"
"2026-05-07","Cleveland Cavaliers","Detroit Pistons","Final","Detroit Pistons","Detroit Pistons",0.4177,0.5823,"401871334","97","107","52-30","60-22",0.634,0.732,119.5,117.8,115.4,109.6,4.1,8.2,100,100,0,"11:00 PM ET"
"2026-05-07","Los Angeles Lakers","Oklahoma City Thunder","Final","Oklahoma City Thunder","Oklahoma City Thunder",0.1101,0.8899,"401871327","107","125","53-29","64-18",0.646,0.78,116.3,119,114.6,107.9,1.8,11.1,100,100,0,"01:30 AM ET"
"2026-05-08","New York Knicks","Philadelphia 76ers","Final","New York Knicks","New York Knicks",0.7579,0.2421,"401871161","108","94","53-29","45-37",0.646,0.549,116.5,115.9,110.1,116.1,6.3,-0.2,100,100,0,"11:00 PM ET"
"2026-05-08","San Antonio Spurs","Minnesota Timberwolves","Final","San Antonio Spurs","San Antonio Spurs",0.5298,0.4702,"401871154","115","108","62-20","49-33",0.756,0.598,119.8,118,111.5,114.6,8.3,3.4,100,100,0,"01:30 AM ET"
"2026-05-09","Detroit Pistons","Cleveland Cavaliers","Final","Cleveland Cavaliers","Detroit Pistons",0.5329,0.4671,"401871335","109","116","60-22","52-30",0.732,0.634,117.8,119.5,109.6,115.4,8.2,4.1,100,100,0,"07:00 PM ET"
"2026-05-09","Oklahoma City Thunder","Los Angeles Lakers","Final","Oklahoma City Thunder","Oklahoma City Thunder",0.8686,0.1314,"401871328","131","108","64-18","53-29",0.78,0.646,119,116.3,107.9,114.6,11.1,1.8,100,100,0,"12:30 AM ET"
"2026-05-10","New York Knicks","Philadelphia 76ers","Final","New York Knicks","New York Knicks",0.7579,0.2421,"401871162","144","114","53-29","45-37",0.646,0.549,116.5,115.9,110.1,116.1,6.3,-0.2,100,100,0,"07:30 PM ET"
